analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.32,0.807049311811851,0.7889868234329308,0.24000680809573405,0.26538227431112205,0.103207149744495,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.33,0.807049311811851,0.7889868234329308,0.24368259040300128,0.2663412025851275,0.1075034197168705,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.34,0.807049311811851,0.7889868234329308,0.24714612269344816,0.2672373745951165,0.11188703682596562,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.35000000000000003,0.807049311811851,0.7889868234329308,0.250398336792219,0.268072904700247,0.11636069220029399,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.36000000000000004,0.807049311811851,0.7889868234329308,0.25344009498803444,0.26884970250524476,0.12092718866553223,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.37,0.807049311811851,0.7889868234329308,0.2562721916333343,0.2695694904738219,0.12558944660036864,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.38,0.807049311811851,0.7889868234329308,0.2588953546013299,0.2702338191801947,0.13035051016465432,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.39,0.807049311811851,0.7889868234329308,0.26131024660684754,0.27084408052609044,0.13521355392776882,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.4,0.807049311811851,0.7889868234329308,0.26351746639712664,0.27140151919380656,0.14018188992752764,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.41000000000000003,0.807049311811851,0.7889868234329308,0.2655175498180376,0.2719072425595394,0.1452589751926162,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.42000000000000004,0.807049311811851,0.7889868234329308,0.2673109707605605,0.2723622292531576,0.1504484197644532,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.43,0.807049311811851,0.7889868234329308,0.2688981419917714,0.27276733651909996,0.15575399525760053,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.44,0.807049311811851,0.7889868234329308,0.2702794158740232,0.2731233065067871,0.16117964400137907,0.1280262761348617
