source,review_id,group_id,sensitivity,specificity,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,zero_cell_study_fraction,pooled_sensitivity_median,pooled_specificity_median,information_bits_at_20_percent_median,relative_information_at_20_percent_median,canonical_reml_plugin_information_bits_at_20_percent,direct_binomial_plugin_information_bits_at_20_percent,absolute_like_for_like_plugin_information_bits_at_20_percent_difference,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,absolute_relative_information_at_20_percent_percentage_points_difference
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:10,0.8140135406336484,0.9566008045292742,0.3722117703948482,0.515580115292399,0.16666666666666666,0.8276602391487163,0.9684895487550624,0.4050181678503352,0.561022864629652,0.3722117703948482,0.4088830846965792,0.036671314301730984,0.013646698515067945,0.011888744225788228,0.03280639745548697,4.544274933725301
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:12,0.8776842997858987,0.9399077178393246,0.39726084113165694,0.5502775746574026,0.2857142857142857,0.87231607911023,0.962624958698375,0.4347865457089995,0.6022574114903181,0.39726084113165694,0.43625914886688044,0.0389983077352235,0.005368220675668667,0.02271724085905047,0.037525704577342556,5.197983683291552
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:2,0.8894268809161817,0.9395143869305321,0.40763490998637014,0.5646475222022919,0.375,0.9307181036408664,0.9552479485455294,0.476431582580795,0.6599432629853941,0.40763490998637014,0.48011906847523483,0.07248415848886469,0.04129122272468466,0.015733561614997282,0.06879667259442485,9.52957407831022
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:21,0.7661052348394163,0.6919740499761876,0.10108755735022501,0.14002441249498268,0.42857142857142855,0.7834873435746608,0.7988773432149407,0.1694839904205504,0.2347657496928331,0.10108755735022501,0.17166369866120473,0.07057614131097972,0.017382108735244484,0.10690329323875314,0.06839643307032539,9.47413371978504
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:33,0.8676412811648538,0.8989311082928707,0.3274778137006413,0.45361555537152976,0.6,0.9084250535860106,0.95210154494728,0.4407417299018968,0.6105064105735667,0.3274778137006413,0.4499119719232987,0.12243415822265741,0.040783772421156717,0.05317043665440935,0.11326391620125553,15.689085520203694
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:36,0.9015355710075782,0.9424378064769471,0.42463185704162787,0.5881913448843965,0.3333333333333333,0.9208363955521296,0.9579896496242414,0.4726613518618225,0.6547208166702099,0.42463185704162787,0.47509197355440635,0.050460116512778486,0.019300824544551398,0.015551843147294298,0.04802949482019464,6.6529471785813366
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:6,0.6258920604319687,0.9476777829106197,0.22318020580088122,0.3091446466503046,0.14285714285714285,0.6421425527596972,0.9630808916783512,0.2568136309243153,0.3557329777619809,0.22318020580088122,0.25885107991075534,0.03567087410987413,0.016250492327728572,0.015403108767731544,0.03363342512343409,4.658833111167626
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:7,0.6687812592009591,0.9735241130638814,0.2977063775714059,0.41237677225715264,0.5,0.7252653966058533,0.9877508768997484,0.3722134856435609,0.5155824912197591,0.2977063775714059,0.3759284381894278,0.0782220606180219,0.05648413740489422,0.014226763835866962,0.07450710807215499,10.320571896260644
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:9,0.5648974467514303,0.973107672948585,0.2292236788183737,0.3175159416037659,0.3333333333333333,0.544583413945914,0.9843250504051312,0.2366448151842672,0.3277955475900815,0.2292236788183737,0.24155125028413504,0.012327571465761356,0.020314032805516247,0.011217377456546163,0.007421136365893505,1.027960598631561
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:1,0.8264608048412256,0.8744057079955224,0.26599376497050997,0.3684491112816592,0.18,0.8542483806234742,0.90290518617287,0.3210362015269418,0.4446927662193711,0.26599376497050997,0.321337096458367,0.05534333148785703,0.027787575782248553,0.028499478177347548,0.05504243655643182,7.62436549377119
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:2,0.807819016476151,0.8582985630603887,0.23629891633869926,0.327316415598935,0.391304347826087,0.8821634625792949,0.8925780381913081,0.330510449129807,0.4578162998094351,0.23629891633869926,0.3320077190143841,0.09570880267568482,0.07434444610314395,0.034279475130919446,0.09421153279110772,13.049988421050013
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:3,0.8552610644391723,0.7144928079460336,0.16105204738194265,0.2230859950215271,0.05,0.8745460062439747,0.7628981589754145,0.2054766417169516,0.2846220325432975,0.16105204738194265,0.20531046620208632,0.04425841882014367,0.019284941804802447,0.048405351029380816,0.04442459433500895,6.153603752177039
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:4,0.8004672093325995,0.6645217498247988,0.10464931570889086,0.1449580871696351,0.11363636363636363,0.8376287805481756,0.6619748133889076,0.1221048983427202,0.1691372024547285,0.10464931570889086,0.12253693943155328,0.01788762372266242,0.03716157121557606,0.0025469364358912117,0.017455582633829347,2.4179115285093395
Cochrane DTA Reference Dataset,CD010023,legacy:CD010023:2,0.7843818274087159,0.9615323940850976,0.3579361181883657,0.4958057744576516,0.8,0.8661267790574909,0.9832482776487796,0.4731248264599173,0.6553628121838586,0.3579361181883657,0.48253484020602405,0.12459872201765837,0.08174495164877504,0.021715883563682037,0.11518870827155164,15.9557037726207
Cochrane DTA Reference Dataset,CD010023,legacy:CD010023:3,0.9531408513426389,0.8474227958177396,0.3486718825844281,0.48297314518398,0.8333333333333334,0.9839626367532716,0.8664153360583877,0.403185357373941,0.5584840931240491,0.3486718825844281,0.4082546090425097,0.0595827264580816,0.03082178541063263,0.018992540240648115,0.054513474789512906,7.551094794006913
