source,source_version,review_id,review_title,doi,source_file,source_sha256,included_study_records,test_groups,stored_study_test_rows,reported_findings,model_candidates,primary_candidates
Modern Cochrane data package,CD015089-dataPackage.zip,CD015089,"Head impulse, nystagmus, and test of skew examination for diagnosing central causes of acute vestibular syndrome",10.1002/14651858.CD015089.pub2,CD015089-dataPackage.zip,238d207faa3de9e6b67a6eac311dd8ce1781db6e8b60fd9b42ceb6e9eafeb940,16,48,164,9,9,5
Figshare,0.26.0,FIGSHARE:14994155,Relationship between diagnostic accuracy of microRNAs for NSCLC and number of combined microRNAs: an overview with meta-analysis,,iero_a_1950534_sm4682.zip,a43d1364253b4fc795597f50718136c1c516a87b9673b982aa632af691cfb472,80,67,230,0,0,0
Figshare,0.26.0,FIGSHARE:29188811,Saliva urea nitrogen for detection of kidney disease in adults: A meta-analysis of diagnostic test accuracy,,pone.0324251.s004.xlsx,e335d2e1c084a70d89cb702fe826fbe8d183b52fe3581dc7c87c6b00346630d0,3,1,7,0,0,0
OSF,0.26.0,OSF:4ag3v,Diagnostic Accuracy of MRI for Detecting Nerve Injury in Brachial Plexus Birth Injury,,Data extraction.xlsx,b29d8e8596dfe2560a62ef6d0916154cec6ef1d666991a35d6955cb28d91feba,5,1,5,0,1,1
OSF,0.26.0,OSF:9kdc2,Diagnostic Performance of Artificial Intelligence Models Using Complete Blood Count Parameters for Anemia Diagnosis and Classification: A Systematic Review and Diagnostic Accuracy Meta-Analysis,,File S7_De-identified dataset.csv | Supplementary Tables.docx,8defb9a970e17b4fe377672d9a7fd9059937765e1ad30241eb75c41a0f9098f7 | 96e8c31b2770d7f9adb23d6cace2c95bd1776a419d6612db3e5d4be98c6a7984,30,2,44,0,2,1
OSF,0.26.0,OSF:agkq5,Diagnostic Accuracy of Deep Learning for Early Gastric Cancer on Endoscopic Images: A Systematic Review and Meta-Analysis,,EGC_DTA 0630.csv,9774525f117ad2a16368777fcb8fbb27a266c6ba711b75f1e21763351b2d4578,34,1,34,0,1,1
OSF,0.26.0,OSF:bx9cz,Accuracy of the Autism Spectrum Quotient in Identifying Autism,,Analysis2.csv,adb1bcb36e2580824905f03f26977cf21549e535d4bd06e7f0316f30e747c88a,9,3,17,0,2,0
OSF,0.26.0,OSF:c82d3,Diagnostic accuracy of severity measures of ICD-11 and DSM-5 Personality disorder: Clarifying the clinical landscape with the most up-to-date evidence,,Raw Data for MetaDTA.csv,355e5c1481271d6758748df38be3b4b89c7cfcbeaa988ff2d6188c94121617be,21,1,21,0,1,1
OSF,0.26.0,OSF:ktp7h,Diagnostic accuracy of nuclear STAT6 immunohistochemistry for solitary fibrous tumour: data and materials for a systematic review and meta-analysis,,STAT6_SFT_2x2_dataset.csv,328ab3870674ee4ca458b13a54157e665ab5416c187b2e55d18b7a957d1838fd,23,1,23,0,1,1
OSF,0.26.0,OSF:m9ptk,Diagnostic accuracy of MTAP immunohistochemistry for CDKN2A homozygous deletion and for distinguishing mesothelioma from reactive mesothelial proliferations: a systematic review and bivariate meta-analysis,,MTAP_2x2_dataset_locked.csv,3a09c736efc63c6292bfe19f98f1b3749b5eac1186fcd0fe73df0cc11d32e203,22,1,22,0,1,1
OSF,0.26.0,OSF:nh25f,Diagnostic accuracy of SS18-SSX fusion-specific (clone E9X9V) and SSX C-terminus (clone E5A2C) immunohistochemistry for synovial sarcoma: a systematic review and meta-analysis,,SS18SSX_supplementary_data_and_code_FINAL .docx | ss18ssx_2x2_dataset.csv,28f4c39eddeb1948412cc47f1e5a5b755b7f579b5b4a51dac722dda280dd1e03 | c1daf9a3a3faf1ad39819c7ae7739af3aa7d8850c21c042f8dbd82d2d319ab07,23,2,33,0,0,0
OSF,0.26.0,OSF:r5x76,"Failure of Tooth Eruption: A Systematic Review and Meta-Analysis of Pathogenesis, Genetic Basis, Diagnostic Accuracy, and Treatment Outcomes",,FILE 2 Study_Characteristics.xlsx | FILE 4 Diagnostic_2x2_Tables.xlsx.xlsx,89cc43a384314c8226472e512bc5561392bfecdbcc9daa0ddb30de0a2839acb5 | 931203369e00e017a08c98561eb05326881028b782e617794b33c7a52ef140ac,12,2,24,0,2,1
