replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
66,0.2680337277807481,0.327316415598935,0.3508165348406453,267
67,0.2134900559561939,0.2703259432191322,0.2881366731751535,255
68,0.2670031859747757,0.327316415598935,0.3457936104342875,243
69,0.2434290734458516,0.308277376392337,0.3325831437287708,265
70,0.23034653654698117,0.2897856256043002,0.3136224450347014,250
71,0.23477403598851376,0.2893377402354912,0.3133480325419154,258
72,0.24413367179946754,0.3075106190508098,0.3250195841742786,276
73,0.2311241001150748,0.293128733608058,0.314132726882343,299
74,0.21967846340930156,0.2745093707676341,0.2908113356319033,280
75,0.2131452633971473,0.2663854599673472,0.2908113356319033,271
76,0.2560598180165894,0.3207463669480786,0.3454107302410044,269
77,0.2232117261354667,0.2798873913452574,0.3056522978479856,262
78,0.2337885578131195,0.299671352037633,0.328607975929933,264
79,0.2252214001327309,0.2873710013112353,0.3124603008240177,285
80,0.235759514163908,0.299671352037633,0.3136224450347014,256
81,0.2253723096026641,0.2919804310767402,0.318822931629464,257
82,0.23347763629010682,0.29595175352472286,0.3138775859585222,256
83,0.2297406615159508,0.2863846436116265,0.31127627912684924,260
84,0.2420897503029084,0.30568892585210183,0.3312162367190932,270
85,0.2519862271506376,0.3176659554135705,0.3339686828903065,269
86,0.2675830213135484,0.3175159416037659,0.33330422374940555,312
87,0.2420897503029084,0.304637214214681,0.3159535553759084,264
88,0.22497078630203315,0.2863846436116265,0.3082683754235501,266
89,0.22263566838686077,0.2775880839067587,0.3055726333563632,272
90,0.2627361016291179,0.3222396614582293,0.3508165348406453,279
91,0.2232117261354667,0.2789206831769446,0.3027169625212638,274
92,0.2560598180165894,0.3201679652089314,0.3334242477859789,275
93,0.22350781772449024,0.2797188391817147,0.306464594352574,264
94,0.2295689729788875,0.2913044791597471,0.3124603008240177,267
95,0.23347763629010682,0.2922321550118127,0.3130413729293595,274
96,0.2466908804312628,0.30892927549496096,0.328607975929933,282
97,0.2405158114862979,0.3031004753118667,0.3136224450347014,267
98,0.2176229462085752,0.2756244365594896,0.3018085886996588,261
99,0.2252214001327309,0.2873710013112353,0.3133480325419154,253
100,0.2311241001150748,0.293128733608058,0.3312162367190932,263
101,0.2311241001150748,0.2922321550118127,0.3136224450347014,283
102,0.22263566838686077,0.2839605824146379,0.30284846173329316,294
103,0.2405158114862979,0.300997052037025,0.3182846657171155,295
104,0.2155281808655819,0.2731890810795418,0.295275667688457,263
105,0.2224571267602441,0.2798738357434901,0.3069087782979427,279
106,0.2407504271599652,0.300997052037025,0.3312162367190932,281
107,0.251401290228081,0.3207463669480786,0.3397972511480355,267
108,0.2450599769385572,0.3084956403659772,0.3304913610687156,284
109,0.2627361016291179,0.3176659554135705,0.3334242477859789,273
110,0.21425135835283987,0.2688030667016468,0.28579251872592665,278
111,0.23347763629010682,0.29268044430993534,0.3182846657171155,258
112,0.22406144205798395,0.2792287072966746,0.2992567099641808,276
113,0.2350423922325927,0.2925545823423991,0.31620869629972925,274
114,0.2450599769385572,0.3084956403659772,0.3317954914632957,284
115,0.23477403598851376,0.29268044430993534,0.3159535553759084,260
116,0.235759514163908,0.2964000428228455,0.3137403797121292,282
117,0.2224571267602441,0.2795367314164046,0.3069087782979427,289
118,0.2209140722782021,0.2765265308108274,0.3056522978479856,253
119,0.2450599769385572,0.30871101152132074,0.3299121063245131,242
120,0.2311241001150748,0.2919804310767402,0.3056522978479856,269
121,0.2247201724713354,0.2839605824146379,0.3069087782979427,281
122,0.2434290734458516,0.308277376392337,0.3312162367190932,251
123,0.2283572229168268,0.2839605824146379,0.3027169625212638,295
124,0.2253723096026641,0.2873710013112353,0.3133480325419154,255
125,0.26780837454714823,0.3269394040180634,0.3508696537455571,262
126,0.2311241001150748,0.2921062930442765,0.318822931629464,266
127,0.2229658315345209,0.2792287072966746,0.3061423885849738,286
128,0.2247201724713354,0.2863846436116265,0.3096279725491575,256
129,0.2407504271599652,0.300997052037025,0.3317954914632957,272
130,0.2227199369335751,0.2845328056159096,0.3136224450347014,271
131,0.2434290734458516,0.308277376392337,0.318822931629464,275
132,0.235759514163908,0.293128733608058,0.3096279725491575,271
133,0.25968978753135363,0.3201679652089314,0.3325831437287708,292
134,0.2313678438729908,0.2873710013112353,0.3098601149894191,270
135,0.2224571267602441,0.2778635873389679,0.3058201828173736,267
136,0.251401290228081,0.3140241860645946,0.3325831437287708,275
137,0.24197244246607474,0.30568892585210183,0.31290416668296656,274
138,0.2311241001150748,0.2976663151618397,0.3133480325419154,252
139,0.25402302258361353,0.3175159416037659,0.3339897366429449,310
140,0.2331667147670941,0.293128733608058,0.328607975929933,247
141,0.2311241001150748,0.2897856256043002,0.3133480325419154,281
142,0.2479825925621485,0.3175159416037659,0.3326397646085046,263
143,0.2627361016291179,0.3223141758343399,0.3397972511480355,277
144,0.2734726986086483,0.3279549453729452,0.3503940473264416,271
145,0.2227199369335751,0.2778635873389679,0.295275667688457,259
146,0.23245632896409715,0.29548791559869003,0.3164778292559035,264
147,0.2337885578131195,0.293128733608058,0.3136224450347014,287
148,0.2198459376700545,0.2756244365594896,0.2956489617644331,275
149,0.2247201724713354,0.2853982859120177,0.306464594352574,269
150,0.2295689729788875,0.2853982859120177,0.3096279725491575,261
